id,word,letter1,letter2,letter3,letter4,letter5,letter1positionalrank,letter2positionalrank,letter3positionalrank,letter4positionalrank,letter5positionalrank,letter1totalrank,letter2totalrank,letter3totalrank,letter4totalrank,letter5totalrank,positionalrarityscore,summativerarityscore,answer,positionalraritypercentile,summativeraritypercentile
2581,daggy,d,a,g,g,y,8,1,14,12,3,11,3,17,17,12,38,60,N,0.65,0.947656491
2582,dagos,d,a,g,o,s,8,1,14,8,1,11,3,17,4,1,32,36,N,0.46,0.346284305
2583,dahls,d,a,h,l,s,8,1,24,6,1,11,3,16,7,1,40,38,N,0.71,0.417514647
2584,daiko,d,a,i,k,o,8,1,3,10,10,11,3,6,19,4,32,43,N,0.46,0.590425532
2585,daily,d,a,i,l,y,8,1,3,6,3,11,3,6,7,12,21,39,Y,0.11,0.452898551
2586,daine,d,a,i,n,e,8,1,3,5,2,11,3,6,9,2,19,31,N,0.08,0.19164354
2587,daint,d,a,i,n,t,8,1,3,5,5,11,3,6,9,8,22,37,N,0.14,0.380820228
2588,dairy,d,a,i,r,y,8,1,3,7,3,11,3,6,5,12,22,37,Y,0.14,0.380820228
2589,daisy,d,a,i,s,y,8,1,3,9,3,11,3,6,1,12,24,33,Y,0.19,0.249537465
2590,daker,d,a,k,e,r,8,1,17,1,7,11,3,19,2,5,34,40,N,0.53,0.490826395
2591,daled,d,a,l,e,d,8,1,7,1,4,11,3,7,2,11,21,34,N,0.11,0.2804502
2592,dales,d,a,l,e,s,8,1,7,1,1,11,3,7,2,1,18,24,N,0.06,0.060206599
2593,dalis,d,a,l,i,s,8,1,7,4,1,11,3,7,6,1,21,28,N,0.11,0.121877891
2594,dalle,d,a,l,l,e,8,1,7,6,2,11,3,7,7,2,24,30,N,0.19,0.165895776
2595,dally,d,a,l,l,y,8,1,7,6,3,11,3,7,7,12,25,40,Y,0.22,0.490826395
2596,dalts,d,a,l,t,s,8,1,7,3,1,11,3,7,8,1,20,30,N,0.09,0.165895776
2597,daman,d,a,m,a,n,8,1,11,2,8,11,3,15,3,9,30,41,N,0.39,0.52436016
2598,damar,d,a,m,a,r,8,1,11,2,7,11,3,15,3,5,29,37,N,0.35,0.380820228
2599,dames,d,a,m,e,s,8,1,11,1,1,11,3,15,2,1,22,32,N,0.14,0.220629047
2600,damme,d,a,m,m,e,8,1,11,15,2,11,3,15,15,2,37,46,N,0.62,0.684397163
2601,damns,d,a,m,n,s,8,1,11,5,1,11,3,15,9,1,26,39,N,0.25,0.452898551
2602,damps,d,a,m,p,s,8,1,11,13,1,11,3,15,14,1,34,44,N,0.53,0.624884366
2603,dampy,d,a,m,p,y,8,1,11,13,3,11,3,15,14,12,36,55,N,0.59,0.890148011
2604,dance,d,a,n,c,e,8,1,5,14,2,11,3,9,13,2,30,38,Y,0.39,0.417514647
2605,dancy,d,a,n,c,y,8,1,5,14,3,11,3,9,13,12,31,48,N,0.42,0.738282455
2606,dandy,d,a,n,d,y,8,1,5,11,3,11,3,9,11,12,28,46,Y,0.31,0.684397163
2607,dangs,d,a,n,g,s,8,1,5,12,1,11,3,9,17,1,27,41,N,0.28,0.52436016
2608,danio,d,a,n,i,o,8,1,5,4,10,11,3,9,6,4,28,33,N,0.31,0.249537465
2609,danks,d,a,n,k,s,8,1,5,10,1,11,3,9,19,1,25,43,N,0.22,0.590425532
2610,danny,d,a,n,n,y,8,1,5,5,3,11,3,9,9,12,22,44,N,0.14,0.624884366
2611,dants,d,a,n,t,s,8,1,5,3,1,11,3,9,8,1,18,32,N,0.06,0.220629047
2612,daraf,d,a,r,a,f,8,1,2,2,18,11,3,5,3,20,31,42,N,0.42,0.558510638
2613,darbs,d,a,r,b,s,8,1,2,17,1,11,3,5,18,1,29,38,N,0.35,0.417514647
2614,darcy,d,a,r,c,y,8,1,2,14,3,11,3,5,13,12,28,44,N,0.31,0.624884366
2615,dared,d,a,r,e,d,8,1,2,1,4,11,3,5,2,11,16,32,N,0.03,0.220629047
2616,darer,d,a,r,e,r,8,1,2,1,7,11,3,5,2,5,19,26,N,0.08,0.0871107
2617,dares,d,a,r,e,s,8,1,2,1,1,11,3,5,2,1,13,22,N,0.01,0.039469627
2618,darga,d,a,r,g,a,8,1,2,12,6,11,3,5,17,3,29,39,N,0.35,0.452898551
2619,dargs,d,a,r,g,s,8,1,2,12,1,11,3,5,17,1,24,37,N,0.19,0.380820228
2620,daric,d,a,r,i,c,8,1,2,4,17,11,3,5,6,13,32,38,N,0.46,0.417514647
2621,daris,d,a,r,i,s,8,1,2,4,1,11,3,5,6,1,16,26,N,0.03,0.0871107
2622,darks,d,a,r,k,s,8,1,2,10,1,11,3,5,19,1,22,39,N,0.14,0.452898551
2623,darky,d,a,r,k,y,8,1,2,10,3,11,3,5,19,12,24,50,N,0.19,0.785769349
2624,darns,d,a,r,n,s,8,1,2,5,1,11,3,5,9,1,17,29,N,0.05,0.145004625
2625,darre,d,a,r,r,e,8,1,2,7,2,11,3,5,5,2,20,26,N,0.09,0.0871107
2626,darts,d,a,r,t,s,8,1,2,3,1,11,3,5,8,1,15,28,N,0.03,0.121877891
2627,darzi,d,a,r,z,i,8,1,2,22,12,11,3,5,23,6,45,48,N,0.83,0.738282455
2628,dashi,d,a,s,h,i,8,1,10,18,12,11,3,1,16,6,49,37,N,0.89,0.380820228
2629,dashy,d,a,s,h,y,8,1,10,18,3,11,3,1,16,12,40,43,N,0.71,0.590425532
2630,datal,d,a,t,a,l,8,1,9,2,9,11,3,8,3,7,29,32,N,0.35,0.220629047
2631,dated,d,a,t,e,d,8,1,9,1,4,11,3,8,2,11,23,35,N,0.17,0.312365094
2632,dater,d,a,t,e,r,8,1,9,1,7,11,3,8,2,5,26,29,N,0.25,0.145004625
2633,dates,d,a,t,e,s,8,1,9,1,1,11,3,8,2,1,20,25,N,0.09,0.073851372
2634,datos,d,a,t,o,s,8,1,9,8,1,11,3,8,4,1,27,27,N,0.28,0.103299414
2635,datto,d,a,t,t,o,8,1,9,3,10,11,3,8,8,4,31,34,N,0.42,0.2804502
2636,datum,d,a,t,u,m,8,1,9,16,14,11,3,8,10,15,48,47,Y,0.88,0.712997225
2637,daube,d,a,u,b,e,8,1,8,17,2,11,3,10,18,2,36,44,N,0.59,0.624884366
2638,daubs,d,a,u,b,s,8,1,8,17,1,11,3,10,18,1,35,43,N,0.56,0.590425532
2639,dauby,d,a,u,b,y,8,1,8,17,3,11,3,10,18,12,37,54,N,0.62,0.873342584
2640,dauds,d,a,u,d,s,8,1,8,11,1,11,3,10,11,1,29,36,N,0.35,0.346284305
2641,dault,d,a,u,l,t,8,1,8,6,5,11,3,10,7,8,28,39,N,0.31,0.452898551
2642,daunt,d,a,u,n,t,8,1,8,5,5,11,3,10,9,8,27,41,Y,0.28,0.52436016
2643,daurs,d,a,u,r,s,8,1,8,7,1,11,3,10,5,1,25,30,N,0.22,0.165895776
2644,dauts,d,a,u,t,s,8,1,8,3,1,11,3,10,8,1,21,33,N,0.11,0.249537465
2645,daven,d,a,v,e,n,8,1,19,1,8,11,3,22,2,9,37,47,N,0.62,0.712997225
2646,davit,d,a,v,i,t,8,1,19,4,5,11,3,22,6,8,37,50,N,0.62,0.785769349
2647,dawah,d,a,w,a,h,8,1,18,2,11,11,3,21,3,16,40,54,N,0.71,0.873342584
2648,dawds,d,a,w,d,s,8,1,18,11,1,11,3,21,11,1,39,47,N,0.68,0.712997225
2649,dawed,d,a,w,e,d,8,1,18,1,4,11,3,21,2,11,32,48,N,0.46,0.738282455
2650,dawen,d,a,w,e,n,8,1,18,1,8,11,3,21,2,9,36,46,N,0.59,0.684397163
2651,dawks,d,a,w,k,s,8,1,18,10,1,11,3,21,19,1,38,55,N,0.65,0.890148011
2652,dawns,d,a,w,n,s,8,1,18,5,1,11,3,21,9,1,33,45,N,0.49,0.653484428
2653,dawts,d,a,w,t,s,8,1,18,3,1,11,3,21,8,1,31,44,N,0.42,0.624884366
2654,dayan,d,a,y,a,n,8,1,20,2,8,11,3,12,3,9,39,38,N,0.68,0.417514647
2655,daych,d,a,y,c,h,8,1,20,14,11,11,3,12,13,16,54,55,N,0.94,0.890148011
2656,daynt,d,a,y,n,t,8,1,20,5,5,11,3,12,9,8,39,43,N,0.68,0.590425532
2657,dazed,d,a,z,e,d,8,1,22,1,4,11,3,23,2,11,36,50,N,0.59,0.785769349
2658,dazer,d,a,z,e,r,8,1,22,1,7,11,3,23,2,5,39,44,N,0.68,0.624884366
2659,dazes,d,a,z,e,s,8,1,22,1,1,11,3,23,2,1,33,40,N,0.49,0.490826395
2660,deads,d,e,a,d,s,8,3,1,11,1,11,2,3,11,1,24,28,N,0.19,0.121877891
2661,deair,d,e,a,i,r,8,3,1,4,7,11,2,3,6,5,23,27,N,0.17,0.103299414
2662,deals,d,e,a,l,s,8,3,1,6,1,11,2,3,7,1,19,24,N,0.08,0.060206599
2663,dealt,d,e,a,l,t,8,3,1,6,5,11,2,3,7,8,23,31,Y,0.17,0.19164354
2664,deans,d,e,a,n,s,8,3,1,5,1,11,2,3,9,1,18,26,N,0.06,0.0871107
2665,deare,d,e,a,r,e,8,3,1,7,2,11,2,3,5,2,21,23,N,0.11,0.049105766
2666,dearn,d,e,a,r,n,8,3,1,7,8,11,2,3,5,9,27,30,N,0.28,0.165895776
2667,dears,d,e,a,r,s,8,3,1,7,1,11,2,3,5,1,20,22,N,0.09,0.039469627
2668,deary,d,e,a,r,y,8,3,1,7,3,11,2,3,5,12,22,33,N,0.14,0.249537465
2669,deash,d,e,a,s,h,8,3,1,9,11,11,2,3,1,16,32,33,N,0.46,0.249537465
2670,death,d,e,a,t,h,8,3,1,3,11,11,2,3,8,16,26,40,Y,0.25,0.490826395
2671,deave,d,e,a,v,e,8,3,1,20,2,11,2,3,22,2,34,40,N,0.53,0.490826395
2672,deaws,d,e,a,w,s,8,3,1,21,1,11,2,3,21,1,34,38,N,0.53,0.417514647
2673,deawy,d,e,a,w,y,8,3,1,21,3,11,2,3,21,12,36,49,N,0.59,0.763259328
2674,debag,d,e,b,a,g,8,3,16,2,16,11,2,18,3,17,45,51,N,0.83,0.810823312
2675,debar,d,e,b,a,r,8,3,16,2,7,11,2,18,3,5,36,39,Y,0.59,0.452898551
2676,debby,d,e,b,b,y,8,3,16,17,3,11,2,18,18,12,47,61,N,0.86,0.956213383
2677,debel,d,e,b,e,l,8,3,16,1,9,11,2,18,2,7,37,40,N,0.62,0.490826395
2678,debes,d,e,b,e,s,8,3,16,1,1,11,2,18,2,1,29,34,N,0.35,0.2804502
2679,debit,d,e,b,i,t,8,3,16,4,5,11,2,18,6,8,36,45,Y,0.59,0.653484428
2680,debts,d,e,b,t,s,8,3,16,3,1,11,2,18,8,1,31,40,N,0.42,0.490826395
2681,debud,d,e,b,u,d,8,3,16,16,4,11,2,18,10,11,47,52,N,0.86,0.832947888
2682,debug,d,e,b,u,g,8,3,16,16,16,11,2,18,10,17,59,58,Y,0.97,0.928230034
2683,debur,d,e,b,u,r,8,3,16,16,7,11,2,18,10,5,50,46,N,0.9,0.684397163
2684,debus,d,e,b,u,s,8,3,16,16,1,11,2,18,10,1,44,42,N,0.81,0.558510638
2685,debut,d,e,b,u,t,8,3,16,16,5,11,2,18,10,8,48,49,Y,0.88,0.763259328
2686,debye,d,e,b,y,e,8,3,16,23,2,11,2,18,12,2,52,45,N,0.92,0.653484428
2687,decad,d,e,c,a,d,8,3,12,2,4,11,2,13,3,11,29,40,N,0.35,0.490826395
2688,decaf,d,e,c,a,f,8,3,12,2,18,11,2,13,3,20,43,49,N,0.79,0.763259328
2689,decal,d,e,c,a,l,8,3,12,2,9,11,2,13,3,7,34,36,Y,0.53,0.346284305
2690,decan,d,e,c,a,n,8,3,12,2,8,11,2,13,3,9,33,38,N,0.49,0.417514647
2691,decay,d,e,c,a,y,8,3,12,2,3,11,2,13,3,12,28,41,Y,0.31,0.52436016
2692,decko,d,e,c,k,o,8,3,12,10,10,11,2,13,19,4,43,49,N,0.79,0.763259328
2693,decks,d,e,c,k,s,8,3,12,10,1,11,2,13,19,1,34,46,N,0.53,0.684397163
2694,decor,d,e,c,o,r,8,3,12,8,7,11,2,13,4,5,38,35,Y,0.65,0.312365094
2695,decos,d,e,c,o,s,8,3,12,8,1,11,2,13,4,1,32,31,N,0.46,0.19164354
2696,decoy,d,e,c,o,y,8,3,12,8,3,11,2,13,4,12,34,42,Y,0.53,0.558510638
2697,decry,d,e,c,r,y,8,3,12,7,3,11,2,13,5,12,33,43,Y,0.49,0.590425532
2698,dedal,d,e,d,a,l,8,3,13,2,9,11,2,11,3,7,35,34,N,0.56,0.2804502
2699,deeds,d,e,e,d,s,8,3,6,11,1,11,2,2,11,1,29,27,N,0.35,0.103299414
2700,deedy,d,e,e,d,y,8,3,6,11,3,11,2,2,11,12,31,38,N,0.42,0.417514647
2701,deely,d,e,e,l,y,8,3,6,6,3,11,2,2,7,12,26,34,N,0.25,0.2804502
2702,deems,d,e,e,m,s,8,3,6,15,1,11,2,2,15,1,33,31,N,0.49,0.19164354
2703,deens,d,e,e,n,s,8,3,6,5,1,11,2,2,9,1,23,25,N,0.17,0.073851372
2704,deeps,d,e,e,p,s,8,3,6,13,1,11,2,2,14,1,31,30,N,0.42,0.165895776
2705,deere,d,e,e,r,e,8,3,6,7,2,11,2,2,5,2,26,22,N,0.25,0.039469627
2706,deers,d,e,e,r,s,8,3,6,7,1,11,2,2,5,1,25,21,N,0.22,0.030835646
2707,deets,d,e,e,t,s,8,3,6,3,1,11,2,2,8,1,21,24,N,0.11,0.060206599
2708,deeve,d,e,e,v,e,8,3,6,20,2,11,2,2,22,2,39,39,N,0.68,0.452898551
2709,deevs,d,e,e,v,s,8,3,6,20,1,11,2,2,22,1,38,38,N,0.65,0.417514647
2710,defat,d,e,f,a,t,8,3,21,2,5,11,2,20,3,8,39,44,N,0.68,0.624884366
2711,defer,d,e,f,e,r,8,3,21,1,7,11,2,20,2,5,40,40,Y,0.71,0.490826395
2712,deffo,d,e,f,f,o,8,3,21,19,10,11,2,20,20,4,61,57,N,0.98,0.917052112
2713,defis,d,e,f,i,s,8,3,21,4,1,11,2,20,6,1,37,40,N,0.62,0.490826395
2714,defog,d,e,f,o,g,8,3,21,8,16,11,2,20,4,17,56,54,N,0.95,0.873342584
2715,degas,d,e,g,a,s,8,3,14,2,1,11,2,17,3,1,28,34,N,0.31,0.2804502
2716,degum,d,e,g,u,m,8,3,14,16,14,11,2,17,10,15,55,55,N,0.95,0.890148011
2717,degus,d,e,g,u,s,8,3,14,16,1,11,2,17,10,1,42,41,N,0.76,0.52436016
2718,deice,d,e,i,c,e,8,3,3,14,2,11,2,6,13,2,30,34,N,0.39,0.2804502
2719,deids,d,e,i,d,s,8,3,3,11,1,11,2,6,11,1,26,31,N,0.25,0.19164354
2720,deify,d,e,i,f,y,8,3,3,19,3,11,2,6,20,12,36,51,N,0.59,0.810823312
2721,deign,d,e,i,g,n,8,3,3,12,8,11,2,6,17,9,34,45,Y,0.53,0.653484428
2722,deils,d,e,i,l,s,8,3,3,6,1,11,2,6,7,1,21,27,N,0.11,0.103299414
2723,deism,d,e,i,s,m,8,3,3,9,14,11,2,6,1,15,37,35,N,0.62,0.312365094
2724,deist,d,e,i,s,t,8,3,3,9,5,11,2,6,1,8,28,28,N,0.31,0.121877891
2725,deity,d,e,i,t,y,8,3,3,3,3,11,2,6,8,12,20,39,Y,0.09,0.452898551
2726,deked,d,e,k,e,d,8,3,17,1,4,11,2,19,2,11,33,45,N,0.49,0.653484428
2727,dekes,d,e,k,e,s,8,3,17,1,1,11,2,19,2,1,30,35,N,0.39,0.312365094
2728,dekko,d,e,k,k,o,8,3,17,10,10,11,2,19,19,4,48,55,N,0.88,0.890148011
2729,delay,d,e,l,a,y,8,3,7,2,3,11,2,7,3,12,23,35,Y,0.17,0.312365094
2730,deled,d,e,l,e,d,8,3,7,1,4,11,2,7,2,11,23,33,N,0.17,0.249537465
2731,deles,d,e,l,e,s,8,3,7,1,1,11,2,7,2,1,20,23,N,0.09,0.049105766
2732,delfs,d,e,l,f,s,8,3,7,19,1,11,2,7,20,1,38,41,N,0.65,0.52436016
2733,delft,d,e,l,f,t,8,3,7,19,5,11,2,7,20,8,42,48,N,0.76,0.738282455
2734,delis,d,e,l,i,s,8,3,7,4,1,11,2,7,6,1,23,27,N,0.17,0.103299414
2735,dells,d,e,l,l,s,8,3,7,6,1,11,2,7,7,1,25,28,N,0.22,0.121877891
2736,delly,d,e,l,l,y,8,3,7,6,3,11,2,7,7,12,27,39,N,0.28,0.452898551
2737,delos,d,e,l,o,s,8,3,7,8,1,11,2,7,4,1,27,25,N,0.28,0.073851372
2738,delph,d,e,l,p,h,8,3,7,13,11,11,2,7,14,16,42,50,N,0.76,0.785769349
2739,delta,d,e,l,t,a,8,3,7,3,6,11,2,7,8,3,27,31,Y,0.28,0.19164354
2740,delts,d,e,l,t,s,8,3,7,3,1,11,2,7,8,1,22,29,N,0.14,0.145004625
2741,delve,d,e,l,v,e,8,3,7,20,2,11,2,7,22,2,40,44,Y,0.71,0.624884366
2742,deman,d,e,m,a,n,8,3,11,2,8,11,2,15,3,9,32,40,N,0.46,0.490826395
2743,demes,d,e,m,e,s,8,3,11,1,1,11,2,15,2,1,24,31,N,0.19,0.19164354
2744,demic,d,e,m,i,c,8,3,11,4,17,11,2,15,6,13,43,47,N,0.79,0.712997225
2745,demit,d,e,m,i,t,8,3,11,4,5,11,2,15,6,8,31,42,N,0.42,0.558510638
2746,demob,d,e,m,o,b,8,3,11,8,22,11,2,15,4,18,52,50,N,0.92,0.785769349
2747,demoi,d,e,m,o,i,8,3,11,8,12,11,2,15,4,6,42,38,N,0.76,0.417514647
2748,demon,d,e,m,o,n,8,3,11,8,8,11,2,15,4,9,38,41,Y,0.65,0.52436016
2749,demos,d,e,m,o,s,8,3,11,8,1,11,2,15,4,1,31,33,N,0.42,0.249537465
2750,dempt,d,e,m,p,t,8,3,11,13,5,11,2,15,14,8,40,50,N,0.71,0.785769349
2751,demur,d,e,m,u,r,8,3,11,16,7,11,2,15,10,5,45,43,Y,0.83,0.590425532
2752,denar,d,e,n,a,r,8,3,5,2,7,11,2,9,3,5,25,30,N,0.22,0.165895776
2753,denay,d,e,n,a,y,8,3,5,2,3,11,2,9,3,12,21,37,N,0.11,0.380820228
2754,dench,d,e,n,c,h,8,3,5,14,11,11,2,9,13,16,41,51,N,0.74,0.810823312
2755,denes,d,e,n,e,s,8,3,5,1,1,11,2,9,2,1,18,25,N,0.06,0.073851372
2756,denet,d,e,n,e,t,8,3,5,1,5,11,2,9,2,8,22,32,N,0.14,0.220629047
2757,denim,d,e,n,i,m,8,3,5,4,14,11,2,9,6,15,34,43,Y,0.53,0.590425532
2758,denis,d,e,n,i,s,8,3,5,4,1,11,2,9,6,1,21,29,N,0.11,0.145004625
2759,dense,d,e,n,s,e,8,3,5,9,2,11,2,9,1,2,27,25,Y,0.28,0.073851372
2760,dents,d,e,n,t,s,8,3,5,3,1,11,2,9,8,1,20,31,N,0.09,0.19164354
2761,deoxy,d,e,o,x,y,8,3,4,25,3,11,2,4,25,12,43,54,N,0.79,0.873342584
2762,depot,d,e,p,o,t,8,3,15,8,5,11,2,14,4,8,39,39,Y,0.68,0.452898551
2763,depth,d,e,p,t,h,8,3,15,3,11,11,2,14,8,16,40,51,Y,0.71,0.810823312
2764,derat,d,e,r,a,t,8,3,2,2,5,11,2,5,3,8,20,29,N,0.09,0.145004625
2765,deray,d,e,r,a,y,8,3,2,2,3,11,2,5,3,12,18,33,N,0.06,0.249537465
2766,derby,d,e,r,b,y,8,3,2,17,3,11,2,5,18,12,33,48,Y,0.49,0.738282455
2767,dered,d,e,r,e,d,8,3,2,1,4,11,2,5,2,11,18,31,N,0.06,0.19164354
2768,deres,d,e,r,e,s,8,3,2,1,1,11,2,5,2,1,15,21,N,0.03,0.030835646
2769,derig,d,e,r,i,g,8,3,2,4,16,11,2,5,6,17,33,41,N,0.49,0.52436016
2770,derma,d,e,r,m,a,8,3,2,15,6,11,2,5,15,3,34,36,N,0.53,0.346284305
2771,derms,d,e,r,m,s,8,3,2,15,1,11,2,5,15,1,29,34,N,0.35,0.2804502
2772,derns,d,e,r,n,s,8,3,2,5,1,11,2,5,9,1,19,28,N,0.08,0.121877891
2773,derny,d,e,r,n,y,8,3,2,5,3,11,2,5,9,12,21,39,N,0.11,0.452898551
2774,deros,d,e,r,o,s,8,3,2,8,1,11,2,5,4,1,22,23,N,0.14,0.049105766
2775,derro,d,e,r,r,o,8,3,2,7,10,11,2,5,5,4,30,27,N,0.39,0.103299414
2776,derry,d,e,r,r,y,8,3,2,7,3,11,2,5,5,12,23,35,N,0.17,0.312365094
2777,derth,d,e,r,t,h,8,3,2,3,11,11,2,5,8,16,27,42,N,0.28,0.558510638
2778,dervs,d,e,r,v,s,8,3,2,20,1,11,2,5,22,1,34,41,N,0.53,0.52436016
2779,desex,d,e,s,e,x,8,3,10,1,19,11,2,1,2,25,41,41,N,0.74,0.52436016
2780,deshi,d,e,s,h,i,8,3,10,18,12,11,2,1,16,6,51,36,N,0.91,0.346284305
2781,desis,d,e,s,i,s,8,3,10,4,1,11,2,1,6,1,26,21,N,0.25,0.030835646
2782,desks,d,e,s,k,s,8,3,10,10,1,11,2,1,19,1,32,34,N,0.46,0.2804502
2783,desse,d,e,s,s,e,8,3,10,9,2,11,2,1,1,2,32,17,N,0.46,0.010329941
2784,deter,d,e,t,e,r,8,3,9,1,7,11,2,8,2,5,28,28,Y,0.31,0.121877891
2785,detox,d,e,t,o,x,8,3,9,8,19,11,2,8,4,25,47,50,Y,0.86,0.785769349
2786,deuce,d,e,u,c,e,8,3,8,14,2,11,2,10,13,2,35,38,Y,0.56,0.417514647
2787,devas,d,e,v,a,s,8,3,19,2,1,11,2,22,3,1,33,39,N,0.49,0.452898551
2788,devel,d,e,v,e,l,8,3,19,1,9,11,2,22,2,7,40,44,N,0.71,0.624884366
2789,devil,d,e,v,i,l,8,3,19,4,9,11,2,22,6,7,43,48,Y,0.79,0.738282455
2790,devis,d,e,v,i,s,8,3,19,4,1,11,2,22,6,1,35,42,N,0.56,0.558510638
2791,devon,d,e,v,o,n,8,3,19,8,8,11,2,22,4,9,46,48,N,0.84,0.738282455
2792,devos,d,e,v,o,s,8,3,19,8,1,11,2,22,4,1,39,40,N,0.68,0.490826395
2793,devot,d,e,v,o,t,8,3,19,8,5,11,2,22,4,8,43,47,N,0.79,0.712997225
2794,dewan,d,e,w,a,n,8,3,18,2,8,11,2,21,3,9,39,46,N,0.68,0.684397163
2795,dewar,d,e,w,a,r,8,3,18,2,7,11,2,21,3,5,38,42,N,0.65,0.558510638
2796,dewax,d,e,w,a,x,8,3,18,2,19,11,2,21,3,25,50,62,N,0.9,0.963536849
2797,dewed,d,e,w,e,d,8,3,18,1,4,11,2,21,2,11,34,47,N,0.53,0.712997225
2798,dexes,d,e,x,e,s,8,3,23,1,1,11,2,25,2,1,36,41,N,0.59,0.52436016
2799,dexie,d,e,x,i,e,8,3,23,4,2,11,2,25,6,2,40,46,N,0.71,0.684397163
2800,dhaba,d,h,a,b,a,8,8,1,17,6,11,16,3,18,3,40,51,N,0.71,0.810823312
2801,dhaks,d,h,a,k,s,8,8,1,10,1,11,16,3,19,1,28,50,N,0.31,0.785769349
2802,dhals,d,h,a,l,s,8,8,1,6,1,11,16,3,7,1,24,38,N,0.19,0.417514647
2803,dhikr,d,h,i,k,r,8,8,3,10,7,11,16,6,19,5,36,57,N,0.59,0.917052112
2804,dhobi,d,h,o,b,i,8,8,4,17,12,11,16,4,18,6,49,55,N,0.89,0.890148011
2805,dhole,d,h,o,l,e,8,8,4,6,2,11,16,4,7,2,28,40,N,0.31,0.490826395
2806,dholl,d,h,o,l,l,8,8,4,6,9,11,16,4,7,7,35,45,N,0.56,0.653484428
2807,dhols,d,h,o,l,s,8,8,4,6,1,11,16,4,7,1,27,39,N,0.28,0.452898551
2808,dhoti,d,h,o,t,i,8,8,4,3,12,11,16,4,8,6,35,45,N,0.56,0.653484428
2809,dhows,d,h,o,w,s,8,8,4,21,1,11,16,4,21,1,42,53,N,0.76,0.852605612
2810,dhuti,d,h,u,t,i,8,8,8,3,12,11,16,10,8,6,39,51,N,0.68,0.810823312
2811,diact,d,i,a,c,t,8,4,1,14,5,11,6,3,13,8,32,41,N,0.46,0.52436016
2812,dials,d,i,a,l,s,8,4,1,6,1,11,6,3,7,1,20,28,N,0.09,0.121877891
2813,diane,d,i,a,n,e,8,4,1,5,2,11,6,3,9,2,20,31,N,0.09,0.19164354
2814,diary,d,i,a,r,y,8,4,1,7,3,11,6,3,5,12,23,37,Y,0.17,0.380820228
2815,diazo,d,i,a,z,o,8,4,1,22,10,11,6,3,23,4,45,47,N,0.83,0.712997225
2816,dibbs,d,i,b,b,s,8,4,16,17,1,11,6,18,18,1,46,54,N,0.84,0.873342584
2817,diced,d,i,c,e,d,8,4,12,1,4,11,6,13,2,11,29,43,N,0.35,0.590425532
2818,dicer,d,i,c,e,r,8,4,12,1,7,11,6,13,2,5,32,37,N,0.46,0.380820228
2819,dices,d,i,c,e,s,8,4,12,1,1,11,6,13,2,1,26,33,N,0.25,0.249537465
2820,dicey,d,i,c,e,y,8,4,12,1,3,11,6,13,2,12,28,44,Y,0.31,0.624884366
2821,dicht,d,i,c,h,t,8,4,12,18,5,11,6,13,16,8,47,54,N,0.86,0.873342584
2822,dicks,d,i,c,k,s,8,4,12,10,1,11,6,13,19,1,35,50,N,0.56,0.785769349
2823,dicky,d,i,c,k,y,8,4,12,10,3,11,6,13,19,12,37,61,N,0.62,0.956213383
2824,dicot,d,i,c,o,t,8,4,12,8,5,11,6,13,4,8,37,42,N,0.62,0.558510638
2825,dicta,d,i,c,t,a,8,4,12,3,6,11,6,13,8,3,33,41,N,0.49,0.52436016
2826,dicts,d,i,c,t,s,8,4,12,3,1,11,6,13,8,1,28,39,N,0.31,0.452898551
2827,dicty,d,i,c,t,y,8,4,12,3,3,11,6,13,8,12,30,50,N,0.39,0.785769349
2828,diddy,d,i,d,d,y,8,4,13,11,3,11,6,11,11,12,39,51,N,0.68,0.810823312
2829,didie,d,i,d,i,e,8,4,13,4,2,11,6,11,6,2,31,36,N,0.42,0.346284305
2830,didos,d,i,d,o,s,8,4,13,8,1,11,6,11,4,1,34,33,N,0.53,0.249537465
2831,didst,d,i,d,s,t,8,4,13,9,5,11,6,11,1,8,39,37,N,0.68,0.380820228
2832,diebs,d,i,e,b,s,8,4,6,17,1,11,6,2,18,1,36,38,N,0.59,0.417514647
2833,diels,d,i,e,l,s,8,4,6,6,1,11,6,2,7,1,25,27,N,0.22,0.103299414
2834,diene,d,i,e,n,e,8,4,6,5,2,11,6,2,9,2,25,30,N,0.22,0.165895776
2835,diets,d,i,e,t,s,8,4,6,3,1,11,6,2,8,1,22,28,N,0.14,0.121877891
2836,diffs,d,i,f,f,s,8,4,21,19,1,11,6,20,20,1,53,58,N,0.93,0.928230034
2837,dight,d,i,g,h,t,8,4,14,18,5,11,6,17,16,8,49,58,N,0.89,0.928230034
2838,digit,d,i,g,i,t,8,4,14,4,5,11,6,17,6,8,35,48,Y,0.56,0.738282455
2839,dikas,d,i,k,a,s,8,4,17,2,1,11,6,19,3,1,32,40,N,0.46,0.490826395
2840,diked,d,i,k,e,d,8,4,17,1,4,11,6,19,2,11,34,49,N,0.53,0.763259328
2841,diker,d,i,k,e,r,8,4,17,1,7,11,6,19,2,5,37,43,N,0.62,0.590425532
2842,dikes,d,i,k,e,s,8,4,17,1,1,11,6,19,2,1,31,39,N,0.42,0.452898551
2843,dikey,d,i,k,e,y,8,4,17,1,3,11,6,19,2,12,33,50,N,0.49,0.785769349
