id,word,letter1,letter2,letter3,letter4,letter5,letter1rank,letter2rank,letter3rank,letter4rank,letter5rank,totalrank
2481,doxie,d,o,x,i,e,8,2,23,4,2,39
2482,doyen,d,o,y,e,n,8,2,20,1,8,39
2483,doyly,d,o,y,l,y,8,2,20,5,3,38
2484,dozed,d,o,z,e,d,8,2,22,1,4,37
2485,dozer,d,o,z,e,r,8,2,22,1,7,40
2486,dozes,d,o,z,e,s,8,2,22,1,1,34
2487,drabs,d,r,a,b,s,8,6,2,17,1,34
2488,drack,d,r,a,c,k,8,6,2,16,13,45
2489,draco,d,r,a,c,o,8,6,2,16,9,41
2490,draff,d,r,a,f,f,8,6,2,19,20,55
2491,drags,d,r,a,g,s,8,6,2,12,1,29
2492,drail,d,r,a,i,l,8,6,2,4,10,30
2493,drams,d,r,a,m,s,8,6,2,14,1,31
2494,drant,d,r,a,n,t,8,6,2,6,6,28
2495,draps,d,r,a,p,s,8,6,2,11,1,28
2496,drats,d,r,a,t,s,8,6,2,3,1,20
2497,drave,d,r,a,v,e,8,6,2,20,2,38
2498,draws,d,r,a,w,s,8,6,2,23,1,40
2499,drays,d,r,a,y,s,8,6,2,22,1,39
2500,drear,d,r,e,a,r,8,6,7,2,7,30
2501,dreck,d,r,e,c,k,8,6,7,16,13,50
2502,dreed,d,r,e,e,d,8,6,7,1,4,26
2503,dreer,d,r,e,e,r,8,6,7,1,7,29
2504,drees,d,r,e,e,s,8,6,7,1,1,23
2505,dregs,d,r,e,g,s,8,6,7,12,1,34
2506,dreks,d,r,e,k,s,8,6,7,9,1,31
2507,drent,d,r,e,n,t,8,6,7,6,6,33
2508,drere,d,r,e,r,e,8,6,7,7,2,30
2509,drest,d,r,e,s,t,8,6,7,13,6,40
2510,dreys,d,r,e,y,s,8,6,7,22,1,44
2511,dribs,d,r,i,b,s,8,6,4,17,1,36
2512,drice,d,r,i,c,e,8,6,4,16,2,36
2513,dries,d,r,i,e,s,8,6,4,1,1,20
2514,drily,d,r,i,l,y,8,6,4,5,3,26
2515,drips,d,r,i,p,s,8,6,4,11,1,30
2516,dript,d,r,i,p,t,8,6,4,11,6,35
2517,droid,d,r,o,i,d,8,6,5,4,4,27
2518,droil,d,r,o,i,l,8,6,5,4,10,33
2519,droke,d,r,o,k,e,8,6,5,9,2,30
2520,drole,d,r,o,l,e,8,6,5,5,2,26
2521,drome,d,r,o,m,e,8,6,5,14,2,35
2522,drony,d,r,o,n,y,8,6,5,6,3,28
2523,droob,d,r,o,o,b,8,6,5,8,21,48
2524,droog,d,r,o,o,g,8,6,5,8,15,42
2525,drook,d,r,o,o,k,8,6,5,8,13,40
2526,drops,d,r,o,p,s,8,6,5,11,1,31
2527,dropt,d,r,o,p,t,8,6,5,11,6,36
2528,drouk,d,r,o,u,k,8,6,5,15,13,47
2529,drows,d,r,o,w,s,8,6,5,23,1,43
2530,drubs,d,r,u,b,s,8,6,9,17,1,41
2531,drugs,d,r,u,g,s,8,6,9,12,1,36
2532,drums,d,r,u,m,s,8,6,9,14,1,38
2533,drupe,d,r,u,p,e,8,6,9,11,2,36
2534,druse,d,r,u,s,e,8,6,9,13,2,38
2535,drusy,d,r,u,s,y,8,6,9,13,3,39
2536,druxy,d,r,u,x,y,8,6,9,25,3,51
2537,dryad,d,r,y,a,d,8,6,20,2,4,40
2538,dryas,d,r,y,a,s,8,6,20,2,1,37
2539,dsobo,d,s,o,b,o,8,17,5,17,9,56
2540,dsomo,d,s,o,m,o,8,17,5,14,9,53
2541,duads,d,u,a,d,s,8,5,2,10,1,26
2542,duals,d,u,a,l,s,8,5,2,5,1,21
2543,duans,d,u,a,n,s,8,5,2,6,1,22
2544,duars,d,u,a,r,s,8,5,2,7,1,23
2545,dubbo,d,u,b,b,o,8,5,16,17,9,55
2546,ducal,d,u,c,a,l,8,5,12,2,10,37
2547,ducat,d,u,c,a,t,8,5,12,2,6,33
2548,duces,d,u,c,e,s,8,5,12,1,1,27
2549,ducks,d,u,c,k,s,8,5,12,9,1,35
2550,ducky,d,u,c,k,y,8,5,12,9,3,37
2551,ducts,d,u,c,t,s,8,5,12,3,1,29
2552,duddy,d,u,d,d,y,8,5,13,10,3,39
2553,duded,d,u,d,e,d,8,5,13,1,4,31
2554,dudes,d,u,d,e,s,8,5,13,1,1,28
2555,duels,d,u,e,l,s,8,5,7,5,1,26
2556,duets,d,u,e,t,s,8,5,7,3,1,24
2557,duett,d,u,e,t,t,8,5,7,3,6,29
2558,duffs,d,u,f,f,s,8,5,21,19,1,54
2559,dufus,d,u,f,u,s,8,5,21,15,1,50
2560,duing,d,u,i,n,g,8,5,4,6,15,38
2561,duits,d,u,i,t,s,8,5,4,3,1,21
2562,dukas,d,u,k,a,s,8,5,17,2,1,33
2563,duked,d,u,k,e,d,8,5,17,1,4,35
2564,dukes,d,u,k,e,s,8,5,17,1,1,32
2565,dukka,d,u,k,k,a,8,5,17,9,5,44
2566,dulce,d,u,l,c,e,8,5,6,16,2,37
2567,dules,d,u,l,e,s,8,5,6,1,1,21
2568,dulia,d,u,l,i,a,8,5,6,4,5,28
2569,dulls,d,u,l,l,s,8,5,6,5,1,25
2570,dulse,d,u,l,s,e,8,5,6,13,2,34
2571,dumas,d,u,m,a,s,8,5,11,2,1,27
2572,dumbo,d,u,m,b,o,8,5,11,17,9,50
2573,dumbs,d,u,m,b,s,8,5,11,17,1,42
2574,dumka,d,u,m,k,a,8,5,11,9,5,38
2575,dumky,d,u,m,k,y,8,5,11,9,3,36
2576,dumps,d,u,m,p,s,8,5,11,11,1,36
2577,dunam,d,u,n,a,m,8,5,3,2,14,32
2578,dunch,d,u,n,c,h,8,5,3,16,12,44
2579,dunes,d,u,n,e,s,8,5,3,1,1,18
2580,dungs,d,u,n,g,s,8,5,3,12,1,29
2581,dungy,d,u,n,g,y,8,5,3,12,3,31
2582,dunks,d,u,n,k,s,8,5,3,9,1,26
2583,dunno,d,u,n,n,o,8,5,3,6,9,31
2584,dunny,d,u,n,n,y,8,5,3,6,3,25
2585,dunsh,d,u,n,s,h,8,5,3,13,12,41
2586,dunts,d,u,n,t,s,8,5,3,3,1,20
2587,duomi,d,u,o,m,i,8,5,5,14,11,43
2588,duomo,d,u,o,m,o,8,5,5,14,9,41
2589,duped,d,u,p,e,d,8,5,14,1,4,32
2590,duper,d,u,p,e,r,8,5,14,1,7,35
2591,dupes,d,u,p,e,s,8,5,14,1,1,29
2592,duple,d,u,p,l,e,8,5,14,5,2,34
2593,duply,d,u,p,l,y,8,5,14,5,3,35
2594,duppy,d,u,p,p,y,8,5,14,11,3,41
2595,dural,d,u,r,a,l,8,5,1,2,10,26
2596,duras,d,u,r,a,s,8,5,1,2,1,17
2597,dured,d,u,r,e,d,8,5,1,1,4,19
2598,dures,d,u,r,e,s,8,5,1,1,1,16
2599,durgy,d,u,r,g,y,8,5,1,12,3,29
2600,durns,d,u,r,n,s,8,5,1,6,1,21
2601,duroc,d,u,r,o,c,8,5,1,8,16,38
2602,duros,d,u,r,o,s,8,5,1,8,1,23
2603,duroy,d,u,r,o,y,8,5,1,8,3,25
2604,durra,d,u,r,r,a,8,5,1,7,5,26
2605,durrs,d,u,r,r,s,8,5,1,7,1,22
2606,durry,d,u,r,r,y,8,5,1,7,3,24
2607,durst,d,u,r,s,t,8,5,1,13,6,33
2608,durum,d,u,r,u,m,8,5,1,15,14,43
2609,durzi,d,u,r,z,i,8,5,1,21,11,46
2610,dusks,d,u,s,k,s,8,5,10,9,1,33
2611,dusts,d,u,s,t,s,8,5,10,3,1,27
2612,duxes,d,u,x,e,s,8,5,23,1,1,38
2613,dwaal,d,w,a,a,l,8,15,2,2,10,37
2614,dwale,d,w,a,l,e,8,15,2,5,2,32
2615,dwalm,d,w,a,l,m,8,15,2,5,14,44
2616,dwams,d,w,a,m,s,8,15,2,14,1,40
2617,dwang,d,w,a,n,g,8,15,2,6,15,46
2618,dwaum,d,w,a,u,m,8,15,2,15,14,54
2619,dweeb,d,w,e,e,b,8,15,7,1,21,52
2620,dwile,d,w,i,l,e,8,15,4,5,2,34
2621,dwine,d,w,i,n,e,8,15,4,6,2,35
2622,dyads,d,y,a,d,s,8,10,2,10,1,31
2623,dyers,d,y,e,r,s,8,10,7,7,1,33
2624,dyked,d,y,k,e,d,8,10,17,1,4,40
2625,dykes,d,y,k,e,s,8,10,17,1,1,37
2626,dykey,d,y,k,e,y,8,10,17,1,3,39
2627,dykon,d,y,k,o,n,8,10,17,8,8,51
2628,dynel,d,y,n,e,l,8,10,3,1,10,32
2629,dynes,d,y,n,e,s,8,10,3,1,1,23
2630,dzhos,d,z,h,o,s,8,23,24,8,1,64
2631,eagre,e,a,g,r,e,17,1,15,7,2,42
2632,ealed,e,a,l,e,d,17,1,6,1,4,29
2633,eales,e,a,l,e,s,17,1,6,1,1,26
2634,eaned,e,a,n,e,d,17,1,3,1,4,26
2635,eards,e,a,r,d,s,17,1,1,10,1,30
2636,eared,e,a,r,e,d,17,1,1,1,4,24
2637,earls,e,a,r,l,s,17,1,1,5,1,25
2638,earns,e,a,r,n,s,17,1,1,6,1,26
2639,earnt,e,a,r,n,t,17,1,1,6,6,31
2640,earst,e,a,r,s,t,17,1,1,13,6,38
2641,eased,e,a,s,e,d,17,1,10,1,4,33
2642,easer,e,a,s,e,r,17,1,10,1,7,36
2643,eases,e,a,s,e,s,17,1,10,1,1,30
2644,easle,e,a,s,l,e,17,1,10,5,2,35
2645,easts,e,a,s,t,s,17,1,10,3,1,32
2646,eathe,e,a,t,h,e,17,1,8,18,2,46
2647,eaved,e,a,v,e,d,17,1,19,1,4,42
2648,eaves,e,a,v,e,s,17,1,19,1,1,39
2649,ebbed,e,b,b,e,d,17,18,16,1,4,56
2650,ebbet,e,b,b,e,t,17,18,16,1,6,58
2651,ebons,e,b,o,n,s,17,18,5,6,1,47
2652,ebook,e,b,o,o,k,17,18,5,8,13,61
2653,ecads,e,c,a,d,s,17,14,2,10,1,44
2654,eched,e,c,h,e,d,17,14,24,1,4,60
2655,eches,e,c,h,e,s,17,14,24,1,1,57
2656,echos,e,c,h,o,s,17,14,24,8,1,64
2657,ecrus,e,c,r,u,s,17,14,1,15,1,48
2658,edema,e,d,e,m,a,17,19,7,14,5,62
2659,edged,e,d,g,e,d,17,19,15,1,4,56
2660,edger,e,d,g,e,r,17,19,15,1,7,59
2661,edges,e,d,g,e,s,17,19,15,1,1,53
2662,edile,e,d,i,l,e,17,19,4,5,2,47
2663,edits,e,d,i,t,s,17,19,4,3,1,44
2664,educe,e,d,u,c,e,17,19,9,16,2,63
2665,educt,e,d,u,c,t,17,19,9,16,6,67
2666,eejit,e,e,j,i,t,17,3,25,4,6,55
2667,eensy,e,e,n,s,y,17,3,3,13,3,39
2668,eeven,e,e,v,e,n,17,3,19,1,8,48
2669,eevns,e,e,v,n,s,17,3,19,6,1,46
2670,effed,e,f,f,e,d,17,24,21,1,4,67
2671,egads,e,g,a,d,s,17,19,2,10,1,49
2672,egers,e,g,e,r,s,17,19,7,7,1,51
2673,egest,e,g,e,s,t,17,19,7,13,6,62
2674,eggar,e,g,g,a,r,17,19,15,2,7,60
2675,egged,e,g,g,e,d,17,19,15,1,4,56
2676,egger,e,g,g,e,r,17,19,15,1,7,59
2677,egmas,e,g,m,a,s,17,19,11,2,1,50
2678,ehing,e,h,i,n,g,17,8,4,6,15,50
2679,eider,e,i,d,e,r,17,4,13,1,7,42
2680,eidos,e,i,d,o,s,17,4,13,8,1,43
2681,eigne,e,i,g,n,e,17,4,15,6,2,44
2682,eiked,e,i,k,e,d,17,4,17,1,4,43
2683,eikon,e,i,k,o,n,17,4,17,8,8,54
2684,eilds,e,i,l,d,s,17,4,6,10,1,38
2685,eisel,e,i,s,e,l,17,4,10,1,10,42
2686,ejido,e,j,i,d,o,17,26,4,10,9,66
2687,ekkas,e,k,k,a,s,17,16,17,2,1,53
2688,elain,e,l,a,i,n,17,7,2,4,8,38
2689,eland,e,l,a,n,d,17,7,2,6,4,36
2690,elans,e,l,a,n,s,17,7,2,6,1,33
2691,elchi,e,l,c,h,i,17,7,12,18,11,65
2692,eldin,e,l,d,i,n,17,7,13,4,8,49
2693,elemi,e,l,e,m,i,17,7,7,14,11,56
2694,elfed,e,l,f,e,d,17,7,21,1,4,50
2695,eliad,e,l,i,a,d,17,7,4,2,4,34
2696,elint,e,l,i,n,t,17,7,4,6,6,40
2697,elmen,e,l,m,e,n,17,7,11,1,8,44
2698,eloge,e,l,o,g,e,17,7,5,12,2,43
2699,elogy,e,l,o,g,y,17,7,5,12,3,44
2700,eloin,e,l,o,i,n,17,7,5,4,8,41
2701,elops,e,l,o,p,s,17,7,5,11,1,41
2702,elpee,e,l,p,e,e,17,7,14,1,2,41
2703,elsin,e,l,s,i,n,17,7,10,4,8,46
2704,elute,e,l,u,t,e,17,7,9,3,2,38
2705,elvan,e,l,v,a,n,17,7,19,2,8,53
2706,elven,e,l,v,e,n,17,7,19,1,8,52
2707,elver,e,l,v,e,r,17,7,19,1,7,51
2708,elves,e,l,v,e,s,17,7,19,1,1,45
2709,emacs,e,m,a,c,s,17,13,2,16,1,49
2710,embar,e,m,b,a,r,17,13,16,2,7,55
2711,embay,e,m,b,a,y,17,13,16,2,3,51
2712,embog,e,m,b,o,g,17,13,16,8,15,69
2713,embow,e,m,b,o,w,17,13,16,8,22,76
2714,embox,e,m,b,o,x,17,13,16,8,19,73
2715,embus,e,m,b,u,s,17,13,16,15,1,62
2716,emeer,e,m,e,e,r,17,13,7,1,7,45
2717,emend,e,m,e,n,d,17,13,7,6,4,47
2718,emerg,e,m,e,r,g,17,13,7,7,15,59
2719,emery,e,m,e,r,y,17,13,7,7,3,47
2720,emeus,e,m,e,u,s,17,13,7,15,1,53
2721,emics,e,m,i,c,s,17,13,4,16,1,51
2722,emirs,e,m,i,r,s,17,13,4,7,1,42
2723,emits,e,m,i,t,s,17,13,4,3,1,38
2724,emmas,e,m,m,a,s,17,13,11,2,1,44
2725,emmer,e,m,m,e,r,17,13,11,1,7,49
2726,emmet,e,m,m,e,t,17,13,11,1,6,48
2727,emmew,e,m,m,e,w,17,13,11,1,22,64
2728,emmys,e,m,m,y,s,17,13,11,22,1,64
2729,emoji,e,m,o,j,i,17,13,5,24,11,70
2730,emong,e,m,o,n,g,17,13,5,6,15,56
2731,emote,e,m,o,t,e,17,13,5,3,2,40
2732,emove,e,m,o,v,e,17,13,5,20,2,57
2733,empts,e,m,p,t,s,17,13,14,3,1,48
2734,emule,e,m,u,l,e,17,13,9,5,2,46
2735,emure,e,m,u,r,e,17,13,9,7,2,48
2736,emyde,e,m,y,d,e,17,13,20,10,2,62
2737,emyds,e,m,y,d,s,17,13,20,10,1,61
2738,enarm,e,n,a,r,m,17,9,2,7,14,49
2739,enate,e,n,a,t,e,17,9,2,3,2,33
2740,ended,e,n,d,e,d,17,9,13,1,4,44
2741,ender,e,n,d,e,r,17,9,13,1,7,47
2742,endew,e,n,d,e,w,17,9,13,1,22,62
2743,endue,e,n,d,u,e,17,9,13,15,2,56
2744,enews,e,n,e,w,s,17,9,7,23,1,57
2745,enfix,e,n,f,i,x,17,9,21,4,19,70
2746,eniac,e,n,i,a,c,17,9,4,2,16,48
2747,enlit,e,n,l,i,t,17,9,6,4,6,42
2748,enmew,e,n,m,e,w,17,9,11,1,22,60
2749,ennog,e,n,n,o,g,17,9,3,8,15,52
2750,enoki,e,n,o,k,i,17,9,5,9,11,51
2751,enols,e,n,o,l,s,17,9,5,5,1,37
2752,enorm,e,n,o,r,m,17,9,5,7,14,52
2753,enows,e,n,o,w,s,17,9,5,23,1,55
2754,enrol,e,n,r,o,l,17,9,1,8,10,45
2755,ensew,e,n,s,e,w,17,9,10,1,22,59
2756,ensky,e,n,s,k,y,17,9,10,9,3,48
2757,entia,e,n,t,i,a,17,9,8,4,5,43
2758,enure,e,n,u,r,e,17,9,9,7,2,44
2759,enurn,e,n,u,r,n,17,9,9,7,8,50
2760,envoi,e,n,v,o,i,17,9,19,8,11,64
2761,enzym,e,n,z,y,m,17,9,22,22,14,84
2762,eorls,e,o,r,l,s,17,2,1,5,1,26
2763,eosin,e,o,s,i,n,17,2,10,4,8,41
2764,epact,e,p,a,c,t,17,11,2,16,6,52
2765,epees,e,p,e,e,s,17,11,7,1,1,37
2766,ephah,e,p,h,a,h,17,11,24,2,12,66
2767,ephas,e,p,h,a,s,17,11,24,2,1,55
2768,ephod,e,p,h,o,d,17,11,24,8,4,64
2769,ephor,e,p,h,o,r,17,11,24,8,7,67
2770,epics,e,p,i,c,s,17,11,4,16,1,49
2771,epode,e,p,o,d,e,17,11,5,10,2,45
2772,epopt,e,p,o,p,t,17,11,5,11,6,50
2773,epris,e,p,r,i,s,17,11,1,4,1,34
2774,eques,e,q,u,e,s,17,25,9,1,1,53
2775,equid,e,q,u,i,d,17,25,9,4,4,59
2776,erbia,e,r,b,i,a,17,6,16,4,5,48
2777,erevs,e,r,e,v,s,17,6,7,20,1,51
2778,ergon,e,r,g,o,n,17,6,15,8,8,54
2779,ergos,e,r,g,o,s,17,6,15,8,1,47
2780,ergot,e,r,g,o,t,17,6,15,8,6,52
2781,erhus,e,r,h,u,s,17,6,24,15,1,63
2782,erica,e,r,i,c,a,17,6,4,16,5,48
2783,erick,e,r,i,c,k,17,6,4,16,13,56
2784,erics,e,r,i,c,s,17,6,4,16,1,44
2785,ering,e,r,i,n,g,17,6,4,6,15,48
2786,erned,e,r,n,e,d,17,6,3,1,4,31
2787,ernes,e,r,n,e,s,17,6,3,1,1,28
2788,erose,e,r,o,s,e,17,6,5,13,2,43
2789,erred,e,r,r,e,d,17,6,1,1,4,29
2790,erses,e,r,s,e,s,17,6,10,1,1,35
2791,eruct,e,r,u,c,t,17,6,9,16,6,54
2792,erugo,e,r,u,g,o,17,6,9,12,9,53
2793,eruvs,e,r,u,v,s,17,6,9,20,1,53
2794,erven,e,r,v,e,n,17,6,19,1,8,51
2795,ervil,e,r,v,i,l,17,6,19,4,10,56
2796,escar,e,s,c,a,r,17,17,12,2,7,55
2797,escot,e,s,c,o,t,17,17,12,8,6,60
2798,esile,e,s,i,l,e,17,17,4,5,2,45
2799,eskar,e,s,k,a,r,17,17,17,2,7,60
2800,esker,e,s,k,e,r,17,17,17,1,7,59
2801,esnes,e,s,n,e,s,17,17,3,1,1,39
2802,esses,e,s,s,e,s,17,17,10,1,1,46
2803,estoc,e,s,t,o,c,17,17,8,8,16,66
2804,estop,e,s,t,o,p,17,17,8,8,17,67
2805,estro,e,s,t,r,o,17,17,8,7,9,58
2806,etage,e,t,a,g,e,17,12,2,12,2,45
2807,etape,e,t,a,p,e,17,12,2,11,2,44
2808,etats,e,t,a,t,s,17,12,2,3,1,35
2809,etens,e,t,e,n,s,17,12,7,6,1,43
2810,ethal,e,t,h,a,l,17,12,24,2,10,65
2811,ethne,e,t,h,n,e,17,12,24,6,2,61
2812,ethyl,e,t,h,y,l,17,12,24,22,10,85
2813,etics,e,t,i,c,s,17,12,4,16,1,50
2814,etnas,e,t,n,a,s,17,12,3,2,1,35
2815,ettin,e,t,t,i,n,17,12,8,4,8,49
2816,ettle,e,t,t,l,e,17,12,8,5,2,44
2817,etuis,e,t,u,i,s,17,12,9,4,1,43
2818,etwee,e,t,w,e,e,17,12,18,1,2,50
2819,etyma,e,t,y,m,a,17,12,20,14,5,68
2820,eughs,e,u,g,h,s,17,5,15,18,1,56
2821,euked,e,u,k,e,d,17,5,17,1,4,44
2822,eupad,e,u,p,a,d,17,5,14,2,4,42
2823,euros,e,u,r,o,s,17,5,1,8,1,32
2824,eusol,e,u,s,o,l,17,5,10,8,10,50
2825,evens,e,v,e,n,s,17,22,7,6,1,53
2826,evert,e,v,e,r,t,17,22,7,7,6,59
2827,evets,e,v,e,t,s,17,22,7,3,1,50
2828,evhoe,e,v,h,o,e,17,22,24,8,2,73
2829,evils,e,v,i,l,s,17,22,4,5,1,49
2830,evite,e,v,i,t,e,17,22,4,3,2,48
2831,evohe,e,v,o,h,e,17,22,5,18,2,64
2832,ewers,e,w,e,r,s,17,15,7,7,1,47
2833,ewest,e,w,e,s,t,17,15,7,13,6,58
2834,ewhow,e,w,h,o,w,17,15,24,8,22,86
2835,ewked,e,w,k,e,d,17,15,17,1,4,54
2836,exams,e,x,a,m,s,17,21,2,14,1,55
2837,exeat,e,x,e,a,t,17,21,7,2,6,53
2838,execs,e,x,e,c,s,17,21,7,16,1,62
2839,exeem,e,x,e,e,m,17,21,7,1,14,60
2840,exeme,e,x,e,m,e,17,21,7,14,2,61
2841,exfil,e,x,f,i,l,17,21,21,4,10,73
2842,exies,e,x,i,e,s,17,21,4,1,1,44
2843,exine,e,x,i,n,e,17,21,4,6,2,50
2844,exing,e,x,i,n,g,17,21,4,6,15,63
2845,exits,e,x,i,t,s,17,21,4,3,1,46
2846,exode,e,x,o,d,e,17,21,5,10,2,55
2847,exome,e,x,o,m,e,17,21,5,14,2,59
2848,exons,e,x,o,n,s,17,21,5,6,1,50
2849,expat,e,x,p,a,t,17,21,14,2,6,60
2850,expos,e,x,p,o,s,17,21,14,8,1,61
2851,exude,e,x,u,d,e,17,21,9,10,2,59
2852,exuls,e,x,u,l,s,17,21,9,5,1,53
2853,exurb,e,x,u,r,b,17,21,9,7,21,75
2854,eyass,e,y,a,s,s,17,10,2,13,1,43
2855,eyers,e,y,e,r,s,17,10,7,7,1,42
2856,eyots,e,y,o,t,s,17,10,5,3,1,36
2857,eyras,e,y,r,a,s,17,10,1,2,1,31
2858,eyres,e,y,r,e,s,17,10,1,1,1,30
2859,eyrie,e,y,r,i,e,17,10,1,4,2,34
2860,eyrir,e,y,r,i,r,17,10,1,4,7,39
2861,ezine,e,z,i,n,e,17,23,4,6,2,52
2862,fabby,f,a,b,b,y,12,1,16,17,3,49
2863,faced,f,a,c,e,d,12,1,12,1,4,30
2864,facer,f,a,c,e,r,12,1,12,1,7,33
2865,faces,f,a,c,e,s,12,1,12,1,1,27
2866,facia,f,a,c,i,a,12,1,12,4,5,34
2867,facta,f,a,c,t,a,12,1,12,3,5,33
2868,facts,f,a,c,t,s,12,1,12,3,1,29
2869,faddy,f,a,d,d,y,12,1,13,10,3,39
2870,faded,f,a,d,e,d,12,1,13,1,4,31
2871,fader,f,a,d,e,r,12,1,13,1,7,34
2872,fades,f,a,d,e,s,12,1,13,1,1,28
2873,fadge,f,a,d,g,e,12,1,13,12,2,40
2874,fados,f,a,d,o,s,12,1,13,8,1,35
2875,faena,f,a,e,n,a,12,1,7,6,5,31
2876,faery,f,a,e,r,y,12,1,7,7,3,30
2877,faffs,f,a,f,f,s,12,1,21,19,1,54
2878,faffy,f,a,f,f,y,12,1,21,19,3,56
2879,faggy,f,a,g,g,y,12,1,15,12,3,43
2880,fagin,f,a,g,i,n,12,1,15,4,8,40
2881,fagot,f,a,g,o,t,12,1,15,8,6,42
2882,faiks,f,a,i,k,s,12,1,4,9,1,27
2883,fails,f,a,i,l,s,12,1,4,5,1,23
2884,faine,f,a,i,n,e,12,1,4,6,2,25
2885,fains,f,a,i,n,s,12,1,4,6,1,24
2886,fairs,f,a,i,r,s,12,1,4,7,1,25
2887,faked,f,a,k,e,d,12,1,17,1,4,35
2888,faker,f,a,k,e,r,12,1,17,1,7,38
2889,fakes,f,a,k,e,s,12,1,17,1,1,32
2890,fakey,f,a,k,e,y,12,1,17,1,3,34
2891,fakie,f,a,k,i,e,12,1,17,4,2,36
2892,fakir,f,a,k,i,r,12,1,17,4,7,41
2893,falaj,f,a,l,a,j,12,1,6,2,26,47
2894,falls,f,a,l,l,s,12,1,6,5,1,25
2895,famed,f,a,m,e,d,12,1,11,1,4,29
2896,fames,f,a,m,e,s,12,1,11,1,1,26
2897,fanal,f,a,n,a,l,12,1,3,2,10,28
2898,fands,f,a,n,d,s,12,1,3,10,1,27
2899,fanes,f,a,n,e,s,12,1,3,1,1,18
2900,fanga,f,a,n,g,a,12,1,3,12,5,33
2901,fango,f,a,n,g,o,12,1,3,12,9,37
2902,fangs,f,a,n,g,s,12,1,3,12,1,29
2903,fanks,f,a,n,k,s,12,1,3,9,1,26
2904,fanon,f,a,n,o,n,12,1,3,8,8,32
2905,fanos,f,a,n,o,s,12,1,3,8,1,25
2906,fanum,f,a,n,u,m,12,1,3,15,14,45
2907,faqir,f,a,q,i,r,12,1,26,4,7,50
2908,farad,f,a,r,a,d,12,1,1,2,4,20
2909,farci,f,a,r,c,i,12,1,1,16,11,41
2910,farcy,f,a,r,c,y,12,1,1,16,3,33
2911,fards,f,a,r,d,s,12,1,1,10,1,25
2912,fared,f,a,r,e,d,12,1,1,1,4,19
2913,farer,f,a,r,e,r,12,1,1,1,7,22
2914,fares,f,a,r,e,s,12,1,1,1,1,16
2915,farle,f,a,r,l,e,12,1,1,5,2,21
2916,farls,f,a,r,l,s,12,1,1,5,1,20
2917,farms,f,a,r,m,s,12,1,1,14,1,29
2918,faros,f,a,r,o,s,12,1,1,8,1,23
2919,farro,f,a,r,r,o,12,1,1,7,9,30
2920,farse,f,a,r,s,e,12,1,1,13,2,29
2921,farts,f,a,r,t,s,12,1,1,3,1,18
2922,fasci,f,a,s,c,i,12,1,10,16,11,50
2923,fasti,f,a,s,t,i,12,1,10,3,11,37
2924,fasts,f,a,s,t,s,12,1,10,3,1,27
2925,fated,f,a,t,e,d,12,1,8,1,4,26
2926,fates,f,a,t,e,s,12,1,8,1,1,23
2927,fatly,f,a,t,l,y,12,1,8,5,3,29
2928,fatso,f,a,t,s,o,12,1,8,13,9,43
2929,fatwa,f,a,t,w,a,12,1,8,23,5,49
2930,faugh,f,a,u,g,h,12,1,9,12,12,46
2931,fauld,f,a,u,l,d,12,1,9,5,4,31
2932,fauns,f,a,u,n,s,12,1,9,6,1,29
2933,faurd,f,a,u,r,d,12,1,9,7,4,33
2934,fauts,f,a,u,t,s,12,1,9,3,1,26
2935,fauve,f,a,u,v,e,12,1,9,20,2,44
2936,favas,f,a,v,a,s,12,1,19,2,1,35
2937,favel,f,a,v,e,l,12,1,19,1,10,43
2938,faver,f,a,v,e,r,12,1,19,1,7,40
2939,faves,f,a,v,e,s,12,1,19,1,1,34
2940,favus,f,a,v,u,s,12,1,19,15,1,48
2941,fawns,f,a,w,n,s,12,1,18,6,1,38
2942,fawny,f,a,w,n,y,12,1,18,6,3,40
2943,faxed,f,a,x,e,d,12,1,23,1,4,41
2944,faxes,f,a,x,e,s,12,1,23,1,1,38
2945,fayed,f,a,y,e,d,12,1,20,1,4,38
2946,fayer,f,a,y,e,r,12,1,20,1,7,41
2947,fayne,f,a,y,n,e,12,1,20,6,2,41
2948,fayre,f,a,y,r,e,12,1,20,7,2,42
2949,fazed,f,a,z,e,d,12,1,22,1,4,40
2950,fazes,f,a,z,e,s,12,1,22,1,1,37
2951,feals,f,e,a,l,s,12,3,2,5,1,23
2952,feare,f,e,a,r,e,12,3,2,7,2,26
2953,fears,f,e,a,r,s,12,3,2,7,1,25
2954,feart,f,e,a,r,t,12,3,2,7,6,30
2955,fease,f,e,a,s,e,12,3,2,13,2,32
2956,feats,f,e,a,t,s,12,3,2,3,1,21
2957,feaze,f,e,a,z,e,12,3,2,21,2,40
2958,feces,f,e,c,e,s,12,3,12,1,1,29
2959,fecht,f,e,c,h,t,12,3,12,18,6,51
2960,fecit,f,e,c,i,t,12,3,12,4,6,37
2961,fecks,f,e,c,k,s,12,3,12,9,1,37
2962,fedex,f,e,d,e,x,12,3,13,1,19,48
2963,feebs,f,e,e,b,s,12,3,7,17,1,40
2964,feeds,f,e,e,d,s,12,3,7,10,1,33
2965,feels,f,e,e,l,s,12,3,7,5,1,28
2966,feens,f,e,e,n,s,12,3,7,6,1,29
2967,feers,f,e,e,r,s,12,3,7,7,1,30
